성별,생일,결혼유무,종교유무,직업코드,소득,지역코드,나이,직업,연령대
여성,1956,결혼,있음,521.0,161.0,서울,44,매장 판매 종사자,중년
남성,1980,무응답,있음,235.0,511.7,서울,20,전기 전자 및 기계 공학 기술자 및 시험원,청년
남성,1954,결혼,있음,773.0,241.61901596892534,서울,46,건축마감관련 기능 종사자,중년
남성,1978,무응답,있음,231.0,421.0,서울,22,건축 및 토목 공학 기술자 및 시험원,청년
여성,1983,무응답,있음,313.0,158.0,서울,17,회계 및 경리 사무원,청년
남성,1966,결혼,없음,311.0,416.7,서울,34,행정 사무원,중년
여성,1971,결혼,없음,254.0,20.0,서울,29,문리 기술 및 예능 강사,청년
남성,1965,결혼,있음,721.0,155.0,서울,35,섬유 및 가죽 관련 기능 종사자,중년
여성,1968,결혼,있음,721.0,120.0,서울,32,섬유 및 가죽 관련 기능 종사자,중년
남성,1958,결혼,있음,772.0,272.0,서울,42,건설관련 기능 종사자,중년
남성,1991,무응답,있음,999.0,91.4,서울,9,기타 서비스관련 단순 종사원,청년
여성,1985,무응답,있음,953.0,160.0,서울,15,판매관련 단순 종사원,청년
남성,1960,결혼,있음,941.0,234.2,서울,40,청소원 및 환경 미화원,중년
여성,1960,결혼,있음,930.0,110.0,서울,40,제조관련 단순 종사원,중년
남성,1987,결혼,있음,863.0,229.2,수도권,13,전기 전자 부품 및 제품 제조장치 조작원,청년
여성,1989,무응답,있음,521.0,120.0,서울,11,매장 판매 종사자,청년
남성,1961,이혼,없음,910.0,150.0,수도권,39,건설 및 광업 단순 종사원,중년
여성,1992,무응답,없음,392.0,122.0,수도권,8,여행 안내 및 접수 사무원,청년
남성,1967,이혼,없음,521.0,241.61901596892534,서울,33,매장 판매 종사자,중년
남성,1956,결혼,있음,151.0,241.61901596892534,서울,44,판매 및 운송 관리자,중년
남성,1985,무응답,있음,510.0,312.0,서울,15,영업 종사자,청년
남성,1986,무응답,있음,254.0,241.61901596892534,서울,14,문리 기술 및 예능 강사,청년
남성,1957,결혼,없음,773.0,309.6,서울,43,건축마감관련 기능 종사자,중년
남성,1983,무응답,없음,761.0,191.3,서울,17,전기 및 전자기기 설치 및 수리원,청년
남성,1950,결혼,없음,873.0,238.0,서울,50,자동차 운전원,중년
여성,1953,결혼,없음,951.0,158.0,서울,47,가사 및 육아 도우미,중년
남성,1962,결혼,없음,510.0,240.0,서울,38,영업 종사자,중년
여성,1963,결혼,있음,922.0,85.0,서울,37,배달원,중년
여성,1989,무응답,있음,285.0,172.0,서울,11,디자이너,청년
남성,1959,결혼,없음,875.0,241.61901596892534,서울,41,건설 및 채굴 기계운전원,중년
남성,1986,무응답,없음,231.0,316.7,서울,14,건축 및 토목 공학 기술자 및 시험원,청년
여성,1990,무응답,없음,312.0,200.0,서울,10,경영관련 사무원,청년
남성,1954,결혼,없음,862.0,166.0,서울,46,전기 및 전자 설비 조작원,중년
여성,1955,결혼,없음,421.0,100.6,서울,45,의료 복지 관련 서비스 종사자,중년
여성,1989,무응답,없음,243.0,191.7,서울,11,간호사,청년
여성,1954,결혼,있음,521.0,241.61901596892534,서울,46,매장 판매 종사자,중년
남성,1978,결혼,있음,311.0,345.0,수도권,22,행정 사무원,청년
남성,1975,결혼,없음,223.0,634.2,서울,25,정보 시스템 운영자,청년
여성,1974,결혼,없음,252.0,400.0,서울,26,학교 교사,청년
여성,1957,이혼,있음,421.0,106.5,서울,43,의료 복지 관련 서비스 종사자,중년
여성,1943,무응답,있음,941.0,57.0,서울,57,청소원 및 환경 미화원,중년
남성,1973,무응답,있음,521.0,268.8,서울,27,매장 판매 종사자,청년
남성,1960,결혼,있음,761.0,397.5,서울,40,전기 및 전자기기 설치 및 수리원,중년
여성,1966,결혼,있음,510.0,625.0,서울,34,영업 종사자,중년
여성,1991,무응답,있음,254.0,180.0,서울,9,문리 기술 및 예능 강사,청년
여성,1971,결혼,있음,259.0,109.7,서울,29,기타 교육 전문가,청년
남성,1968,결혼,없음,771.0,220.3,서울,32,건설구조관련 기능 종사자,중년
남성,1958,결혼,있음,721.0,276.3,서울,42,섬유 및 가죽 관련 기능 종사자,중년
여성,1958,결혼,있음,930.0,123.2,서울,42,제조관련 단순 종사원,중년
남성,1986,결혼,없음,135.0,167.5,서울,14,정보통신관련 관리자,청년
남성,1984,무응답,있음,245.0,231.0,서울,16,치료사 및 의료기사,청년
남성,1966,결혼,있음,862.0,428.7,서울,34,전기 및 전자 설비 조작원,중년
여성,1968,결혼,있음,399.0,60.0,서울,32,고객 상담 및 기타 사무원,중년
남성,1974,결혼,없음,773.0,247.0,서울,26,건축마감관련 기능 종사자,청년
여성,1973,결혼,없음,930.0,131.8,서울,27,제조관련 단순 종사원,청년
남성,1986,무응답,있음,312.0,220.0,서울,14,경영관련 사무원,청년
남성,1960,결혼,없음,530.0,241.61901596892534,서울,40,방문 노점 및 통신 판매 관련 종사자,중년
여성,1960,결혼,있음,521.0,120.0,서울,40,매장 판매 종사자,중년
남성,1985,무응답,없음,221.0,393.3,서울,15,컴퓨터 하드웨어 및 통신공학 전문가,청년
여성,1960,무응답,있음,951.0,108.0,서울,40,가사 및 육아 도우미,중년
여성,1943,무응답,있음,941.0,73.0,서울,57,청소원 및 환경 미화원,중년
여성,1971,무응답,없음,422.0,234.0,서울,29,이 미용 및 관련 서비스 종사자,청년
남성,1959,결혼,없음,873.0,241.61901596892534,서울,41,자동차 운전원,중년
여성,1965,결혼,없음,930.0,241.61901596892534,서울,35,제조관련 단순 종사원,중년
남성,1938,이혼,있음,941.0,241.61901596892534,서울,62,청소원 및 환경 미화원,노년
남성,1964,무응답,있음,751.0,205.0,서울,36,자동차 정비원,중년
남성,1969,결혼,없음,312.0,251.0,서울,31,경영관련 사무원,중년
여성,1977,결혼,없음,314.0,140.0,서울,23,비서 및 사무 보조원,청년
여성,1971,결혼,없음,312.0,275.0,수도권,29,경영관련 사무원,청년
남성,1966,결혼,있음,251.0,145.8,수도권,34,대학 교수 및 강사,중년
여성,1958,이혼,있음,521.0,190.0,서울,42,매장 판매 종사자,중년
남성,1987,무응답,있음,399.0,150.0,서울,13,고객 상담 및 기타 사무원,청년
여성,1953,무응답,있음,951.0,241.61901596892534,서울,47,가사 및 육아 도우미,중년
남성,1978,결혼,있음,753.0,408.0,서울,22,기계장비 설치 및 정비원,청년
남성,1979,무응답,있음,141.0,500.0,서울,21,건설 전기 및 생산 관련 관리자,청년
남성,1957,무응답,없음,941.0,52.8,서울,43,청소원 및 환경 미화원,중년
남성,1972,결혼,없음,722.0,238.3,서울,28,의복 제조관련 기능 종사자,청년
여성,1965,결혼,없음,930.0,114.2,서울,35,제조관련 단순 종사원,중년
여성,1958,결혼,있음,422.0,241.61901596892534,서울,42,이 미용 및 관련 서비스 종사자,중년
여성,1983,결혼,없음,320.0,0.0,수도권,17,금융 및 보험관련 사무 종사자,청년
남성,1984,결혼,없음,761.0,266.7,수도권,16,전기 및 전자기기 설치 및 수리원,청년
남성,1955,결혼,있음,773.0,241.61901596892534,서울,45,건축마감관련 기능 종사자,중년
남성,1975,결혼,없음,246.0,341.6,수도권,25,보건의료관련 종사자,청년
남성,1945,이혼,없음,942.0,220.2,서울,55,경비원 및 검표원,중년
여성,1982,무응답,있음,289.0,194.3,서울,18,매니저 및 기타 문화 예술 관련 종사자,청년
여성,1957,무응답,있음,951.0,241.61901596892534,서울,43,가사 및 육아 도우미,중년
여성,1979,결혼,없음,320.0,130.0,서울,21,금융 및 보험관련 사무 종사자,청년
남성,1975,결혼,없음,231.0,416.6,서울,25,건축 및 토목 공학 기술자 및 시험원,청년
여성,1964,결혼,있음,952.0,192.0,서울,36,음식관련 단순 종사원,중년
여성,1989,무응답,있음,254.0,583.3,서울,11,문리 기술 및 예능 강사,청년
여성,1990,무응답,있음,243.0,260.0,서울,10,간호사,청년
남성,1972,결혼,있음,281.0,420.6,서울,28,작가 기자 및 출판 전문가,청년
남성,1959,결혼,있음,741.0,313.3,서울,41,금형 주조 및 단조원,중년
여성,1962,결혼,있음,952.0,126.0,서울,38,음식관련 단순 종사원,중년
여성,1986,무응답,있음,243.0,233.0,서울,14,간호사,청년
여성,1989,무응답,있음,289.0,166.7,서울,11,매니저 및 기타 문화 예술 관련 종사자,청년
남성,1967,결혼,없음,873.0,241.61901596892534,서울,33,자동차 운전원,중년
여성,1968,결혼,없음,422.0,241.61901596892534,서울,32,이 미용 및 관련 서비스 종사자,중년
남성,1973,결혼,있음,312.0,416.0,서울,27,경영관련 사무원,청년
여성,1976,결혼,있음,313.0,140.0,서울,24,회계 및 경리 사무원,청년
남성,1973,결혼,없음,312.0,358.0,서울,27,경영관련 사무원,청년
여성,1973,결혼,없음,313.0,110.0,서울,27,회계 및 경리 사무원,청년
남성,1964,결혼,없음,261.0,400.0,서울,36,법률 전문가,중년
여성,1962,결혼,있음,247.0,50.0,서울,38,사회복지관련 종사자,중년
여성,1958,결혼,있음,422.0,241.61901596892534,서울,42,이 미용 및 관련 서비스 종사자,중년
남성,1976,결혼,있음,941.0,241.61901596892534,서울,24,청소원 및 환경 미화원,청년
여성,1981,결혼,있음,254.0,120.0,서울,19,문리 기술 및 예능 강사,청년
남성,1976,결혼,없음,245.0,325.0,수도권,24,치료사 및 의료기사,청년
남성,1958,결혼,있음,873.0,162.0,서울,42,자동차 운전원,중년
남성,1988,무응답,있음,245.0,209.9,서울,12,치료사 및 의료기사,청년
남성,1977,결혼,없음,441.0,324.0,광주/전남/전북/제주도,23,주방장 및 조리사,청년
여성,1977,결혼,없음,246.0,162.0,광주/전남/전북/제주도,23,보건의료관련 종사자,청년
남성,1985,결혼,없음,312.0,185.0,대전/충남,15,경영관련 사무원,청년
여성,1982,결혼,없음,864.0,320.0,대전/충남,18,전기 전자 부품 및 제품 조립원,청년
남성,1979,결혼,없음,222.0,241.61901596892534,수도권,21,정보시스템 개발 전문가,청년
남성,1944,결혼,있음,873.0,241.61901596892534,서울,56,자동차 운전원,중년
남성,1963,결혼,없음,312.0,426.7,서울,37,경영관련 사무원,중년
여성,1968,결혼,없음,243.0,303.9,서울,32,간호사,중년
남성,1946,결혼,없음,942.0,139.0,서울,54,경비원 및 검표원,중년
남성,1977,결혼,있음,510.0,429.7,수도권,23,영업 종사자,청년
남성,1960,무응답,없음,910.0,241.61901596892534,서울,40,건설 및 광업 단순 종사원,중년
남성,1965,결혼,없음,762.0,241.61901596892534,서울,35,전기공,중년
여성,1943,무응답,있음,999.0,20.0,서울,57,기타 서비스관련 단순 종사원,중년
남성,1954,결혼,없음,873.0,241.61901596892534,서울,46,자동차 운전원,중년
여성,1958,결혼,없음,521.0,241.61901596892534,서울,42,매장 판매 종사자,중년
남성,1984,무응답,없음,910.0,241.61901596892534,서울,16,건설 및 광업 단순 종사원,청년
여성,1937,무응답,있음,930.0,241.61901596892534,서울,63,제조관련 단순 종사원,노년
여성,1941,무응답,있음,930.0,85.42,서울,59,제조관련 단순 종사원,중년
남성,1968,무응답,있음,952.0,85.42,서울,32,음식관련 단순 종사원,중년
남성,1965,결혼,있음,999.0,241.61901596892534,서울,35,기타 서비스관련 단순 종사원,중년
여성,1967,결혼,있음,999.0,241.61901596892534,서울,33,기타 서비스관련 단순 종사원,중년
여성,1967,이혼,없음,951.0,107.0,서울,33,가사 및 육아 도우미,중년
남성,1995,무응답,없음,952.0,92.0,서울,5,음식관련 단순 종사원,청년
여성,1953,무응답,있음,951.0,76.8,서울,47,가사 및 육아 도우미,중년
남성,1978,결혼,있음,761.0,241.61901596892534,서울,22,전기 및 전자기기 설치 및 수리원,청년
여성,1978,결혼,있음,313.0,193.2,서울,22,회계 및 경리 사무원,청년
남성,1974,결혼,없음,221.0,468.3,서울,26,컴퓨터 하드웨어 및 통신공학 전문가,청년
여성,1979,결혼,있음,313.0,219.1,서울,21,회계 및 경리 사무원,청년
남성,1983,결혼,있음,761.0,300.0,대전/충남,17,전기 및 전자기기 설치 및 수리원,청년
여성,1965,결혼,없음,530.0,240.0,서울,35,방문 노점 및 통신 판매 관련 종사자,중년
여성,1994,무응답,없음,521.0,241.61901596892534,서울,6,매장 판매 종사자,청년
남성,1959,결혼,없음,873.0,241.61901596892534,서울,41,자동차 운전원,중년
남성,1953,결혼,없음,942.0,150.0,서울,47,경비원 및 검표원,중년
여성,1959,결혼,없음,952.0,241.61901596892534,서울,41,음식관련 단순 종사원,중년
남성,1960,결혼,있음,942.0,166.0,서울,40,경비원 및 검표원,중년
여성,1963,결혼,있음,951.0,100.0,서울,37,가사 및 육아 도우미,중년
남성,1963,결혼,있음,873.0,241.61901596892534,강원도/충북,37,자동차 운전원,중년
남성,1977,결혼,있음,411.0,387.5,서울,23,경찰 소방 및 교도 관련 종사자,청년
여성,1978,결혼,있음,243.0,436.7,서울,22,간호사,청년
여성,1983,무응답,있음,313.0,183.3,서울,17,회계 및 경리 사무원,청년
남성,1980,결혼,없음,510.0,375.0,광주/전남/전북/제주도,20,영업 종사자,청년
남성,1948,결혼,있음,772.0,220.0,서울,52,건설관련 기능 종사자,중년
여성,1950,결혼,있음,941.0,30.0,서울,50,청소원 및 환경 미화원,중년
남성,1973,결혼,있음,231.0,330.0,서울,27,건축 및 토목 공학 기술자 및 시험원,청년
남성,1968,결혼,없음,721.0,241.61901596892534,서울,32,섬유 및 가죽 관련 기능 종사자,중년
여성,1966,결혼,없음,721.0,310.0,서울,34,섬유 및 가죽 관련 기능 종사자,중년
여성,1946,결혼,없음,951.0,150.0,서울,54,가사 및 육아 도우미,중년
남성,1970,무응답,없음,799.0,241.61901596892534,서울,30,기타 기능관련 종사자,중년
남성,1959,결혼,없음,910.0,150.0,서울,41,건설 및 광업 단순 종사원,중년
여성,1964,결혼,없음,951.0,100.0,서울,36,가사 및 육아 도우미,중년
여성,1986,무응답,없음,313.0,140.0,서울,14,회계 및 경리 사무원,청년
남성,1961,결혼,있음,510.0,267.0,서울,39,영업 종사자,중년
남성,1939,결혼,있음,942.0,241.61901596892534,서울,61,경비원 및 검표원,노년
남성,1972,결혼,없음,873.0,185.0,서울,28,자동차 운전원,청년
여성,1979,결혼,없음,285.0,363.3,서울,21,디자이너,청년
남성,1978,결혼,없음,510.0,411.7,서울,22,영업 종사자,청년
남성,1973,결혼,없음,254.0,266.0,서울,27,문리 기술 및 예능 강사,청년
여성,1969,결혼,없음,259.0,408.0,서울,31,기타 교육 전문가,중년
여성,1977,이혼,있음,313.0,150.0,수도권,23,회계 및 경리 사무원,청년
남성,1947,결혼,있음,942.0,150.0,수도권,53,경비원 및 검표원,중년
남성,1973,무응답,있음,743.0,170.0,수도권,27,용접원,청년
여성,1957,이혼,있음,722.0,162.0,서울,43,의복 제조관련 기능 종사자,중년
여성,1987,무응답,있음,399.0,170.0,서울,13,고객 상담 및 기타 사무원,청년
남성,1955,결혼,있음,251.0,70.0,서울,45,대학 교수 및 강사,중년
남성,1989,무응답,있음,753.0,270.0,부산/경남/울산,11,기계장비 설치 및 정비원,청년
남성,1957,이혼,없음,530.0,241.61901596892534,서울,43,방문 노점 및 통신 판매 관련 종사자,중년
남성,1989,무응답,없음,930.0,164.7,서울,11,제조관련 단순 종사원,청년
남성,1952,이혼,없음,942.0,170.0,서울,48,경비원 및 검표원,중년
남성,1960,결혼,없음,999.0,241.61901596892534,서울,40,기타 서비스관련 단순 종사원,중년
여성,1960,결혼,없음,999.0,241.61901596892534,서울,40,기타 서비스관련 단순 종사원,중년
여성,1993,무응답,있음,521.0,120.0,서울,7,매장 판매 종사자,청년
남성,1972,결혼,있음,780.0,419.16,서울,28,영상 및 통신 장비 관련 설치 및 수리원,청년
여성,1973,결혼,있음,259.0,204.66,서울,27,기타 교육 전문가,청년
여성,1971,무응답,있음,281.0,241.61901596892534,서울,29,작가 기자 및 출판 전문가,청년
여성,1976,결혼,없음,312.0,433.3,서울,24,경영관련 사무원,청년
남성,1982,무응답,있음,510.0,233.0,서울,18,영업 종사자,청년
남성,1973,결혼,없음,235.0,800.0,서울,27,전기 전자 및 기계 공학 기술자 및 시험원,청년
남성,1950,결혼,있음,873.0,241.61901596892534,서울,50,자동차 운전원,중년
여성,1953,결혼,있음,941.0,96.0,서울,47,청소원 및 환경 미화원,중년
남성,1982,무응답,있음,252.0,333.0,서울,18,학교 교사,청년
여성,1963,이혼,있음,442.0,220.0,서울,37,음식서비스 종사자,중년
여성,1995,무응답,있음,311.0,218.0,서울,5,행정 사무원,청년
남성,1965,결혼,있음,772.0,241.61901596892534,서울,35,건설관련 기능 종사자,중년
여성,1969,결혼,있음,930.0,170.0,서울,31,제조관련 단순 종사원,중년
여성,1993,무응답,있음,422.0,120.0,서울,7,이 미용 및 관련 서비스 종사자,청년
남성,1970,결혼,있음,873.0,280.0,서울,30,자동차 운전원,중년
여성,1971,결혼,있음,930.0,193.0,서울,29,제조관련 단순 종사원,청년
여성,1944,이혼,있음,941.0,17.0,서울,56,청소원 및 환경 미화원,중년
여성,1950,이혼,있음,930.0,80.4,서울,50,제조관련 단순 종사원,중년
남성,1971,무응답,없음,149.0,138.0,서울,29,기타 건설 전기 및 생산 관련 관리자,청년
남성,1957,결혼,없음,442.0,241.61901596892534,서울,43,음식서비스 종사자,중년
여성,1958,결혼,있음,441.0,241.61901596892534,서울,42,주방장 및 조리사,중년
남성,1983,무응답,없음,442.0,241.61901596892534,서울,17,음식서비스 종사자,청년
남성,1975,결혼,없음,246.0,311.0,수도권,25,보건의료관련 종사자,청년
남성,1962,결혼,없음,891.0,250.0,서울,38,목재 및 종이 관련 기계조작원,중년
여성,1964,결혼,없음,721.0,98.33,서울,36,섬유 및 가죽 관련 기능 종사자,중년
남성,1952,결혼,없음,442.0,241.61901596892534,서울,48,음식서비스 종사자,중년
여성,1957,결혼,없음,442.0,241.61901596892534,서울,43,음식서비스 종사자,중년
남성,1981,무응답,없음,246.0,506.66,서울,19,보건의료관련 종사자,청년
여성,1984,무응답,없음,320.0,254.16,서울,16,금융 및 보험관련 사무 종사자,청년
남성,1966,결혼,없음,823.0,241.61901596892534,서울,34,세탁관련 기계조작원,중년
여성,1966,결혼,있음,999.0,241.61901596892534,서울,34,기타 서비스관련 단순 종사원,중년
남성,1960,결혼,없음,875.0,241.61901596892534,서울,40,건설 및 채굴 기계운전원,중년
여성,1962,결혼,없음,521.0,110.0,서울,38,매장 판매 종사자,중년
여성,1987,무응답,없음,320.0,318.33,서울,13,금융 및 보험관련 사무 종사자,청년
남성,1961,결혼,있음,159.0,241.61901596892534,서울,39,기타 판매 및 고객서비스 관리자,중년
남성,1964,결혼,있음,248.0,230.0,서울,36,종교관련 종사자,중년
여성,1975,결혼,있음,442.0,150.0,서울,25,음식서비스 종사자,청년
남성,1974,결혼,없음,773.0,200.0,수도권,26,건축마감관련 기능 종사자,청년
남성,1968,이혼,있음,521.0,241.61901596892534,서울,32,매장 판매 종사자,중년
남성,1955,결혼,있음,874.0,241.61901596892534,서울,45,물품이동 장비 조작원,중년
여성,1961,결혼,있음,951.0,151.2,서울,39,가사 및 육아 도우미,중년
남성,1961,결혼,없음,892.0,310.5,서울,39,인쇄 및 사진현상 관련 기계조작원,중년
남성,1979,결혼,없음,312.0,291.7,서울,21,경영관련 사무원,청년
남성,1945,결혼,있음,254.0,241.61901596892534,서울,55,문리 기술 및 예능 강사,중년
여성,1946,무응답,없음,521.0,241.61901596892534,서울,54,매장 판매 종사자,중년
남성,1978,무응답,없음,320.0,600.0,서울,22,금융 및 보험관련 사무 종사자,청년
여성,1979,무응답,없음,313.0,201.66,서울,21,회계 및 경리 사무원,청년
남성,1981,무응답,없음,442.0,68.0,서울,19,음식서비스 종사자,청년
남성,1973,무응답,있음,221.0,365.3,서울,27,컴퓨터 하드웨어 및 통신공학 전문가,청년
남성,1970,결혼,있음,873.0,280.0,서울,30,자동차 운전원,중년
여성,1969,결혼,있음,313.0,301.9,서울,31,회계 및 경리 사무원,중년
남성,1979,무응답,있음,721.0,241.61901596892534,서울,21,섬유 및 가죽 관련 기능 종사자,청년
남성,1942,결혼,있음,241.0,241.61901596892534,서울,58,의료진료 전문가,중년
여성,1980,무응답,있음,285.0,313.0,서울,20,디자이너,청년
남성,1963,결혼,있음,773.0,241.61901596892534,서울,37,건축마감관련 기능 종사자,중년
여성,1961,결혼,있음,422.0,50.0,서울,39,이 미용 및 관련 서비스 종사자,중년
남성,1937,결혼,있음,254.0,20.0,서울,63,문리 기술 및 예능 강사,노년
여성,1958,결혼,있음,999.0,139.58,서울,42,기타 서비스관련 단순 종사원,중년
남성,1988,무응답,있음,530.0,150.0,서울,12,방문 노점 및 통신 판매 관련 종사자,청년
남성,1969,결혼,없음,773.0,373.83,서울,31,건축마감관련 기능 종사자,중년
여성,1972,결혼,없음,239.0,287.5,수도권,28,기타 공학 전문가 및 관련 종사자,청년
남성,1979,결혼,없음,221.0,250.0,수도권,21,컴퓨터 하드웨어 및 통신공학 전문가,청년
여성,1956,무응답,있음,442.0,208.73,서울,44,음식서비스 종사자,중년
남성,1982,무응답,있음,442.0,270.3,서울,18,음식서비스 종사자,청년
남성,1945,결혼,없음,141.0,241.61901596892534,서울,55,건설 전기 및 생산 관련 관리자,중년
여성,1954,이혼,있음,521.0,95.0,수도권,46,매장 판매 종사자,중년
남성,1974,결혼,없음,521.0,550.0,서울,26,매장 판매 종사자,청년
여성,1974,결혼,없음,442.0,241.61901596892534,서울,26,음식서비스 종사자,청년
남성,1963,결혼,있음,791.0,245.3,서울,37,공예 및 귀금속 세공원,중년
여성,1964,결혼,있음,421.0,20.0,서울,36,의료 복지 관련 서비스 종사자,중년
여성,1990,무응답,있음,245.0,200.3,서울,10,치료사 및 의료기사,청년
여성,1958,이혼,없음,930.0,147.9,서울,42,제조관련 단순 종사원,중년
남성,1984,무응답,없음,922.0,163.0,서울,16,배달원,청년
남성,1977,결혼,없음,271.0,672.0,서울,23,인사 및 경영 전문가,청년
여성,1979,결혼,없음,313.0,286.6,서울,21,회계 및 경리 사무원,청년
남성,1980,결혼,없음,313.0,375.0,서울,20,회계 및 경리 사무원,청년
남성,1970,결혼,없음,312.0,610.0,수도권,30,경영관련 사무원,중년
여성,1946,무응답,있음,721.0,153.0,서울,54,섬유 및 가죽 관련 기능 종사자,중년
남성,1982,결혼,있음,761.0,410.0,수도권,18,전기 및 전자기기 설치 및 수리원,청년
여성,1949,무응답,있음,941.0,67.0,서울,51,청소원 및 환경 미화원,중년
남성,1975,무응답,없음,773.0,180.0,서울,25,건축마감관련 기능 종사자,청년
남성,1963,결혼,있음,722.0,215.5,서울,37,의복 제조관련 기능 종사자,중년
남성,1978,결혼,없음,892.0,280.0,수도권,22,인쇄 및 사진현상 관련 기계조작원,청년
남성,1965,결혼,없음,235.0,500.0,서울,35,전기 전자 및 기계 공학 기술자 및 시험원,중년
여성,1974,결혼,없음,313.0,218.3,서울,26,회계 및 경리 사무원,청년
남성,1969,결혼,없음,311.0,503.0,수도권,31,행정 사무원,중년
여성,1973,결혼,있음,252.0,465.0,수도권,27,학교 교사,청년
여성,1943,이혼,없음,941.0,76.1,서울,57,청소원 및 환경 미화원,중년
남성,1969,결혼,없음,411.0,531.0,서울,31,경찰 소방 및 교도 관련 종사자,중년
여성,1972,결혼,없음,259.0,140.0,서울,28,기타 교육 전문가,청년
남성,1975,결혼,없음,852.0,365.5,서울,25,냉 난방 관련 설비 조작원,청년
남성,1948,결혼,있음,873.0,241.61901596892534,서울,52,자동차 운전원,중년
남성,1979,결혼,없음,873.0,286.16,서울,21,자동차 운전원,청년
남성,1957,결혼,있음,773.0,241.61901596892534,서울,43,건축마감관련 기능 종사자,중년
남성,1968,결혼,없음,871.0,520.8,서울,32,철도 및 전동차 기관사,중년
남성,1958,무응답,있음,773.0,241.61901596892534,서울,42,건축마감관련 기능 종사자,중년
